category,system,record_description,retention_trigger,retention_days,legal_basis_or_obligation,record_owner,legal_privacy_approver,approval_date,next_review_date,activation_approval,deletion_method,supplier_deletion_method,backup_expiry,legal_hold_scope,status
customer_account,Supabase/Auth,"Customer identity, profile and account records",Account closure,365,"Proposed business lifecycle under Morocco Law 09-08 storage limitation; claims/contract period LEGAL REVIEW REQUIRED",Customer Operations,TBD,,,,"Disable/revoke sessions then delete or minimize account/profile through supported APIs","Propagate to Auth and applicable processors after legal review","Expire under approved backup lifecycle; suppress restoration where required",Customer/account subject or all records,PROPOSED - LEGAL REVIEW REQUIRED
property_service,Supabase,"Property, assessment, booking and service records",Service completion or contract end,1095,"Proposed contract/claims evidence period; Morocco legal basis and proportionality LEGAL REVIEW REQUIRED",Operations,TBD,,,,"Delete/minimize service records and unlink access secrets through approved job","Propagate to storage/support/lock provider where applicable","Expire under approved backup lifecycle",Property/customer/claim or all records,PROPOSED - LEGAL REVIEW REQUIRED
billing_finance,Supabase/Stripe,"Invoices, payments, refunds and qualifying financial evidence",Fiscal-period close,3650,"Statutory candidate: Moroccan CGI 2026 Article 211 for qualifying accounting documents; scope/trigger LEGAL/FINANCE REVIEW REQUIRED",Finance,TBD,,,,"Restrict to accounting evidence; delete non-required operational copies through approved job","Retain/delete Stripe records per legal classification and provider capability","Ten-year candidate for qualifying accounting backups only",Tax audit/dispute/account or all records,PROPOSED - LEGAL/FINANCE REVIEW REQUIRED
support_content,Supabase/Cubbit/Support,"Support messages and attachments",Ticket closure,730,"Proposed customer-support and claims period; home photographs and disputes require separate classification; LEGAL REVIEW REQUIRED",Customer Support,TBD,,,,"Delete messages and objects by ticket; preserve only approved claim evidence","Delete from Cubbit/external support and retain provider receipt","Expire under approved backup lifecycle",Ticket/customer/claim or all records,PROPOSED - LEGAL REVIEW REQUIRED
marketing_leads,Supabase/Mautic,"Early-access, referral and marketing lead records",Consent withdrawal or last engagement,730,"Consent/purpose lifecycle proposal; suppress marketing immediately on withdrawal and assess erasure within 30 days; CNDP/GDPR applicability LEGAL REVIEW REQUIRED",Marketing,TBD,,,,"Suppress immediately; delete/anonymize when no other approved basis remains","Delete/suppress in Mautic and analytics recipients","Expire under approved backup lifecycle",Data subject/campaign/investigation or all records,PROPOSED - LEGAL/PRIVACY REVIEW REQUIRED
security_audit,Supabase/Security receiver,"Security, audit and access event records",Event occurrence,365,"Proposed security detection/accountability period; incident/claims and CNDP proportionality LEGAL REVIEW REQUIRED",Security,TBD,,,,"Approved maintenance path only; append-only logs cannot be routinely mutated","Expire receiver/provider copies after integrity evidence and approved schedule","Include receiver volume in controlled rolling backup",Incident/account/system/category or all records,PROPOSED - LEGAL REVIEW REQUIRED
employee_hr,Supabase/HR,"Employee and lifecycle records",Employment end,1825,"Proposed employment/claims period; Moroccan labour, payroll and tax classifications LEGAL/HR REVIEW REQUIRED",HR,TBD,,,,"Delete/minimize by personnel file classification after offboarding","Propagate to payroll/HR/training providers","Segregate statutory finance records; expire remaining HR backups",Employee/claim/investigation or all records,PROPOSED - LEGAL/HR REVIEW REQUIRED
whatsapp_messages,Supabase/WhatsApp,"WhatsApp messages and processed webhook records",Ticket or conversation closure,365,"Proposed support/operations period; service is currently inactive in production; CNDP/Meta review required before activation",Customer Support,TBD,,,,"Delete encrypted message content and media by conversation","Use Meta/provider deletion capability and record outcome","Expire under approved backup lifecycle",Conversation/customer/incident or all records,PROPOSED - LEGAL/PRIVACY REVIEW REQUIRED
whatsapp_audit,Supabase/WhatsApp,"WhatsApp bot audit and decision records",Event occurrence,365,"Proposed security/accountability period; LEGAL REVIEW REQUIRED",Security,TBD,,,,"Approved retention RPC after hold check","Delete provider audit copy where contract permits","Expire under approved backup lifecycle",Incident/conversation/category or all records,PROPOSED - LEGAL REVIEW REQUIRED
assistant_knowledge_gaps,Supabase/Assistant,"Assistant knowledge-gap observations",Last observation,180,"Proposed product-improvement period for minimized/non-content records; provider/privacy review required",Product/Security,TBD,,,,"Approved retention RPC after hold check","No provider copy should be retained unless separately approved","Expire under approved backup lifecycle",Incident/category or all records,PROPOSED - LEGAL REVIEW REQUIRED
assistant_provider_events,Supabase/Assistant,"Assistant provider telemetry and event records",Provider event occurrence,90,"Proposed troubleshooting/security period for minimized telemetry; provider/privacy review required",Product/Security,TBD,,,,"Approved retention RPC after hold check","Verify provider-side retention/deletion terms","Expire under approved backup lifecycle",Incident/category or all records,PROPOSED - LEGAL REVIEW REQUIRED
early_access_partial_pii,Supabase/Early Access,"Incomplete signup session contact and form data",Last signup activity,30,"Proposed data-minimization period for abandoned incomplete signup; LEGAL/PRIVACY REVIEW REQUIRED",Marketing/Customer Operations,TBD,,,,"Approved cleanup RPC after hold check","Propagate to Mautic only if data was transferred","Expire under approved short rolling backup",Data subject/investigation or all records,PROPOSED - LEGAL/PRIVACY REVIEW REQUIRED
assessment_confirmation_evidence,Supabase Storage/Assessments,"Customer identity-confirmation evidence images",Customer confirmation,30,"Proposed short necessity period for high-risk identity evidence; CNDP authorization/sensitive-data classification LEGAL REVIEW REQUIRED",Operations,TBD,,,,"Delete object through Storage API and reconcile metadata","Delete supplier/object replicas and retain receipt","Expire under approved short rolling backup",Customer/fraud/incident or all records,PROPOSED - LEGAL/OPERATIONS REVIEW REQUIRED
