supplier,service_owner,criticality,data_or_access,contract_dpa_reference,assurance_reference,transfer_review,incident_terms,continuity_exit_plan,next_review,status,actions
GitHub,Engineering,Critical,"Source; CI; release metadata; developer identities",TBD,TBD,"International service review required",TBD,"Forgejo mirror and distributed clone; export rules/settings/issues",TBD,Technical controls verified,"Assign owner formally; collect contract/assurance/MFA/incident evidence"
Forgejo/hospitalityos.es,Engineering,High,"Source mirror and developer metadata",TBD,TBD,"Hosting entity/region TBD",TBD,"GitHub authoritative; repository export available",TBD,Active mirror,"Identify service legal entity; access review; backup/restore evidence"
Supabase Cloud,Operations/Data Owner,Critical,"Customer; employee; Auth; Storage; operations; audit/security records",TBD,TBD,"eu-west-1 observed; CNDP foreign-transfer mechanism LEGAL REVIEW REQUIRED",TBD,"Migrations plus provider backup/export; isolated restore not yet evidenced",TBD,Production and staging active,"DPA/subprocessors; CNDP; backup entitlement; restore; MFA; privileged users"
Vercel,Operations,Critical,"Production runtime; requests; deployment metadata; encrypted environment variables",TBD,TBD,"Runtime/build regions and CNDP mechanism LEGAL REVIEW REQUIRED",TBD,"Rebuild from verified GitHub source; alternate host unapproved",TBD,Production active,"DPA/subprocessors; regions; MFA/access; logs; deletion; incident/SLA terms"
VPS hosting provider,Operations,High,"Protected staging; scanner content; minimized security events",TBD,TBD,"Provider identity and region TBD",TBD,"Rebuild services from repository; persistent receiver recovery open",TBD,Active but provider identity open,"Identify provider; contract; region; admin access; host backup; assurance"
Stripe,Finance,Critical,"Customer identity; amounts; invoices; payment references; refunds",TBD,TBD,"Processor countries/mechanism LEGAL REVIEW REQUIRED",TBD,"Export/reconcile; controlled payment suspension",TBD,Production active,"Appoint Finance; dashboard roles/MFA; DPA; retention; dispute/fraud continuity"
Resend,Operations/Support,High,"Email recipients/content; auth messages; security alerts",TBD,TBD,"Processor countries/mechanism LEGAL REVIEW REQUIRED",TBD,"DNS/template/provider migration",TBD,Production active,"DPA/subprocessors; account MFA; logs/retention; breach and availability terms"
Mautic,Marketing,Medium,"Lead/contact; consent; campaign and attribution data",TBD,TBD,"Hosting entity/region and CNDP mechanism LEGAL REVIEW REQUIRED",TBD,"CSV/API export; campaign/backup recreation",TBD,Production active/configured,"Confirm hosting/controller; consent; deletion propagation; access/backup review"
Cubbit,Operations/Privacy,High,"Support/property/customer attachments",TBD,TBD,"Region and CNDP mechanism LEGAL REVIEW REQUIRED",TBD,"Bulk object export; Storage fallback design",TBD,Production active/configured,"DPA; region; lifecycle; encryption; versioning; deletion and restore proof"
Cloudflare Turnstile,Security/Marketing,Medium,"IP/device challenge telemetry and token",TBD,TBD,"Transfer mechanism LEGAL REVIEW REQUIRED",TBD,"Disable/replace CAPTCHA",TBD,Production active/configured,"Privacy notice; DPA/subprocessors; key restrictions; availability"
Google Maps Platform,Operations,Medium,"Address queries; IP/device telemetry",TBD,TBD,"Transfer mechanism LEGAL REVIEW REQUIRED",TBD,"Manual address entry fallback",TBD,Production active/configured,"Browser-key restrictions; API scope; DPA; privacy notice; disable unused APIs"
Google Analytics,Marketing/Privacy,Medium,"Consent-gated online identifiers and usage",TBD,TBD,"CNDP/GDPR/cookie/transfer LEGAL REVIEW REQUIRED",TBD,"Disable tag; export where appropriate",TBD,Production active/configured,"Appoint Privacy; validate consent; CNDP filing; retention; account access"
Groq,Product/Security,High,"Minimized prompts/context depending assistant route",TBD,TBD,"Transfer/region LEGAL REVIEW REQUIRED",TBD,"Provider abstraction permits replacement",TBD,Production active/configured,"DPA; no-training/retention terms; region; prompt sampling; access/MFA"
Meta/WhatsApp,Customer Support,High,"Phone identifiers; messages; media; delivery metadata",TBD,TBD,"CNDP/transfer LEGAL REVIEW REQUIRED before activation",TBD,"Portal/email fallback; number/template migration",TBD,Implemented but inactive,"Do not activate until owner, DPA, CNDP, retention, security and continuity review"
FreeScout/Hospitality Support,Customer Support,High,"Ticket identity/content/attachments",TBD,TBD,"Hosting entity/region and CNDP mechanism LEGAL REVIEW REQUIRED",TBD,"Dar Tahara portal is current fallback",TBD,Implemented but inactive,"Confirm intended supplier or deprecate code/config; review before activation"
